date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-08-05,38.3297,38.4737,37.7811,37.8771,1733728,1733728,-0.699398,-1.813,38.0401,"Aug 5, 14",0.050968085637704566
2014-08-06,37.8703,38.2063,37.644,38.1171,1568834,1568834,0.239989,0.634,38.0196,"Aug 6, 14",0.057627316163617354
2014-08-07,38.3845,38.3983,37.6989,37.7469,1628472,1628472,-0.370267,-0.971,37.829,"Aug 7, 14",0.04735545307739685
2014-08-08,37.9251,37.932,37.6166,37.8771,1766002,1766002,0.130278,0.345,37.7817,"Aug 8, 14",0.050968085637704566
2014-08-11,38.0143,38.1583,37.7537,37.8497,1252725,1252725,-0.027428,-0.072,37.9001,"Aug 11, 14",0.05020782348599619
2014-08-12,37.7057,37.7606,37.2326,37.26,2642075,2642075,-0.589685,-1.558,37.3611,"Aug 12, 14",0.03384553914795144
2014-08-13,37.356,37.692,37.1565,37.5617,1721261,1721261,0.3017,0.81,37.5115,"Aug 13, 14",0.042216746854901004
2014-08-14,37.5617,38.1446,37.3355,38.1377,3478558,3478558,0.575975,1.533,37.9692,"Aug 14, 14",0.05819890011709158
2014-08-15,40.421,40.4965,39.3239,39.4816,5578794,5578794,1.3439,3.524,39.5898,"Aug 15, 14",0.09548781638281702
2014-08-18,39.5982,40.1948,39.3239,40.1262,2761606,2761606,0.644542,1.633,40.0003,"Aug 18, 14",0.11337339970366421
2014-08-19,40.1262,40.2839,39.8793,40.1536,1192963,1192963,0.02743,0.068,40.1589,"Aug 19, 14",0.11413366185537258
2014-08-20,39.989,40.0508,39.7285,39.9959,1846569,1846569,-0.157709,-0.393,39.8967,"Aug 20, 14",0.1097579924639708
2014-08-21,40.0165,40.0988,39.7491,39.7628,1228385,1228385,-0.233134,-0.583,39.873,"Aug 21, 14",0.10329021481567804
2014-08-22,39.7011,39.7971,39.4131,39.5228,1439567,1439567,-0.239988,-0.604,39.552,"Aug 22, 14",0.09663098428976526
2014-08-25,39.6873,39.8725,39.4816,39.5914,967137,967137,0.068569,0.173,39.6398,"Aug 25, 14",0.09853441434842208
2014-08-26,39.5982,39.7011,39.4526,39.6668,888727,888727,0.075426,0.191,39.6145,"Aug 26, 14",0.10062652260531306
2014-08-27,39.7696,39.7696,39.2828,39.3445,1193004,1193004,-0.322273,-0.812,39.4248,"Aug 27, 14",0.09168373094488926
2014-08-28,39.1799,39.4474,39.0702,39.1868,1395449,1395449,-0.157706,-0.401,39.281,"Aug 28, 14",0.08730806155348748
2014-08-29,39.3102,39.4268,39.1388,39.1937,1979934,1979934,0.006853,0.017,39.2234,"Aug 29, 14",0.08749951443110753
2014-09-02,39.2417,39.8382,39.2417,39.8176,2015566,2015566,0.623975,1.592,39.6035,"Sep 2, 14",0.10481073911909479
2014-09-03,39.9136,40.085,39.6873,39.8108,1478032,1478032,-0.006855,-0.017,39.8277,"Sep 3, 14",0.10462206092086064
2014-09-04,39.8519,40.1056,39.4954,39.5571,790594,790594,-0.253706,-0.637,39.7546,"Sep 4, 14",0.09758269931909368
2014-09-05,39.4816,39.8039,39.2897,39.7148,908184,908184,0.157708,0.399,39.6765,"Sep 5, 14",0.10195836871049545
2014-09-08,39.5776,39.7422,39.4234,39.5296,1345766,1345766,-0.185132,-0.466,39.5386,"Sep 8, 14",0.09681966248799961
2014-09-09,39.5571,39.6325,39.3925,39.3925,1286053,1286053,-0.137139,-0.347,39.4732,"Sep 9, 14",0.09301557705007185
2014-09-10,39.4954,39.6531,39.2039,39.5571,1477856,1477856,0.164563,0.418,39.4724,"Sep 10, 14",0.09758269931909368
2014-09-11,39.4405,39.5776,39.3651,39.4885,995855,995855,-0.068568,-0.173,39.5035,"Sep 11, 14",0.09567926926043704
2014-09-12,39.5022,40.2016,39.5022,40.181,2590395,2590395,0.692541,1.754,39.9153,"Sep 12, 14",0.11489392400708096
2014-09-15,40.1125,40.1125,39.5914,39.7148,1621086,1621086,-0.466265,-1.16,39.742,"Sep 15, 14",0.10195836871049545
2014-09-16,39.6462,39.8451,39.3377,39.7079,1379832,1379832,-0.006856,-0.017,39.6399,"Sep 16, 14",0.10176691583287562
2014-09-17,39.7696,40.4485,39.7148,40.3799,2710468,2710468,0.671969,1.692,40.2245,"Sep 17, 14",0.12041276130543117
2014-09-18,40.5925,40.7296,39.9822,40.0439,2867046,2867046,-0.335984,-0.832,40.1835,"Sep 18, 14",0.1110898385691534
2014-09-19,40.3319,40.4416,39.8382,39.941,2173992,2173992,-0.102854,-0.257,40.0586,"Sep 19, 14",0.10823469348116836
2014-09-22,39.8588,39.8999,39.2691,39.4611,1686631,1686631,-0.479977,-1.202,39.5016,"Sep 22, 14",0.09491900710872868
