date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-10-26,251.4139,251.7183,250.913,251.0505,69797972,69797972,0.3241,0.129,251.2895,"Oct 26, 17",0.5416464788446979
2017-10-27,251.8853,253.2799,251.0558,253.1031,85562544,85562544,2.0526,0.818,252.6437,"Oct 27, 17",0.5542510486921056
2017-10-30,252.4746,252.9951,251.8264,252.1603,54285687,54285687,-0.942838,-0.373,252.3458,"Oct 30, 17",0.5484615190944557
2017-10-31,252.5826,252.838,252.2143,252.5531,60304781,60304781,0.392849,0.156,252.5723,"Oct 31, 17",0.5508736184007316
2017-11-01,253.4272,253.8103,252.4746,252.8871,54202736,54202736,0.333923,0.132,253.1399,"Nov 1, 17",0.5529246397049478
2017-11-02,252.8085,253.1424,251.6103,252.9853,56449535,56449535,0.098212,0.039,252.536,"Nov 2, 17",0.5535276645315167
2017-11-03,253.1621,253.879,252.7005,253.8299,59589730,59589730,0.844626,0.334,253.444,"Nov 3, 17",0.5587141693025977
2017-11-06,253.6826,254.3701,253.604,254.2228,49652598,49652598,0.39285,0.155,254.0939,"Nov 6, 17",0.5611268826871082
2017-11-07,254.3406,254.7138,253.4763,254.046,57502161,57502161,-0.176782,-0.07,254.003,"Nov 7, 17",0.5600411923679901
2017-11-08,253.8495,254.5861,253.5353,254.4781,50469579,50469579,0.432134,0.17,254.1438,"Nov 8, 17",0.5626946244205405
2017-11-09,253.1228,253.771,251.7773,253.5549,93981044,93981044,-0.923196,-0.363,252.9015,"Nov 9, 17",0.5570254541569106
2017-11-10,253.1228,253.6753,252.7692,253.4763,59984662,59984662,-0.07857,-0.031,253.2641,"Nov 10, 17",0.5565427886643616
2017-11-13,252.7103,253.9674,252.671,253.712,50228648,50228648,0.23571,0.093,253.497,"Nov 13, 17",0.5579901710637739
2017-11-14,252.8085,253.2406,251.9344,253.1228,61315152,61315152,-0.589274,-0.232,252.8293,"Nov 14, 17",0.5543720221043603
2017-11-15,252.0326,252.6219,251.0603,251.8558,80811525,80811525,-1.2669,-0.501,251.8829,"Nov 15, 17",0.546591650869504
2017-11-16,252.9165,254.4094,252.8721,253.9969,67777027,67777027,2.141,0.85,253.7372,"Nov 16, 17",0.5597396799547057
2017-11-17,253.604,253.9656,253.1621,253.2504,75756833,75756833,-0.746415,-0.294,253.4604,"Nov 17, 17",0.555155585931959
2017-11-20,253.5254,253.9036,253.2504,253.6826,48075514,48075514,0.432135,0.171,253.6192,"Nov 20, 17",0.5578096320627441
2017-11-21,254.5469,255.5486,253.646,255.3424,69176799,69176799,1.6598,0.654,255.1826,"Nov 21, 17",0.568002102603876
2017-11-22,255.3522,255.4995,254.9299,255.1165,45033392,45033392,-0.225888,-0.088,255.1951,"Nov 22, 17",0.5666148998714735
2017-11-24,255.6665,255.8236,255.5093,255.7058,27856514,27856514,0.589274,0.231,255.6744,"Nov 24, 17",0.570233662909122
2017-11-27,255.7549,256.0888,255.3522,255.5781,52274922,52274922,-0.127676,-0.05,255.7012,"Nov 27, 17",0.5694494850032885
2017-11-28,256.0986,258.2004,255.9955,258.1709,98971719,98971719,2.5928,1.014,257.1635,"Nov 28, 17",0.5853713054750603
2017-11-29,258.3182,258.9173,257.5129,258.0138,77512102,77512102,-0.157139,-0.061,258.0369,"Nov 29, 17",0.5844065885681968
2017-11-30,259.045,261.294,258.9566,260.2726,127894389,127894389,2.2589,0.875,259.9978,"Nov 30, 17",0.5982773877357525
2017-12-01,260.0271,260.5673,256.0986,259.7325,164390902,164390902,-0.540167,-0.208,258.7139,"Dec 1, 17",0.5949607511896232
2017-12-04,261.5494,262.0306,259.3593,259.4182,94040560,94040560,-0.314281,-0.121,260.688,"Dec 4, 17",0.5930307032976617
2017-12-05,259.703,260.4101,258.3379,258.4852,77994544,77994544,-0.933018,-0.36,259.2136,"Dec 5, 17",0.5873013533670218
2017-12-06,258.1709,259.0155,258.0138,258.5343,75898566,75898566,0.049107,0.019,258.5239,"Dec 6, 17",0.5876028657803061
2017-12-07,258.387,259.703,258.2396,259.3494,77218569,77218569,0.815162,0.315,259.1741,"Dec 7, 17",0.5926082174721224
2017-12-08,260.253,260.7735,259.3116,260.7637,76563873,76563873,1.4143,0.545,260.4211,"Dec 8, 17",0.6012931259468318
2017-12-11,260.8324,261.6181,260.7335,261.5494,83077533,83077533,0.785699,0.301,261.2167,"Dec 11, 17",0.6061179386376183
2017-12-12,261.8047,262.5413,261.5838,262.011,85195750,85195750,0.4616,0.176,262.1247,"Dec 12, 17",0.6089525237694334
2017-12-13,262.286,262.777,261.8833,261.9815,102905409,102905409,-0.029464,-0.011,262.3388,"Dec 13, 17",0.6087713706901686
2017-12-14,262.3056,262.4431,260.8521,260.911,100666692,100666692,-1.0705,-0.409,261.5015,"Dec 14, 17",0.6021976631866853
2017-12-15,262.0734,263.5935,261.9648,263.0704,144610290,144610290,2.1594,0.828,262.8959,"Dec 15, 17",0.6154580685888544
2017-12-18,264.6004,265.1334,264.5214,264.7386,83653572,83653572,1.6682,0.634,264.8064,"Dec 18, 17",0.6257021217017092
2017-12-19,265.0199,265.0643,263.6429,263.7219,82382876,82382876,-1.0167,-0.384,264.1016,"Dec 19, 17",0.6194587882885456
2017-12-20,264.7978,264.8669,263.2481,263.5837,76751500,76751500,-0.138194,-0.052,263.8089,"Dec 20, 17",0.6186101321680587
2017-12-21,264.2154,264.9212,263.8502,264.1266,67032339,67032339,0.542902,0.206,264.3433,"Dec 21, 17",0.6219439629047621
2017-12-22,264.1562,264.1809,263.4553,264.0575,78720873,78720873,-0.069097,-0.026,263.8986,"Dec 22, 17",0.6215196348445186
2017-12-26,263.6034,263.9861,263.4405,263.7416,45244433,45244433,-0.31587,-0.12,263.6844,"Dec 26, 17",0.6195797617008003
2017-12-27,263.9292,264.2746,263.5639,263.8699,57750986,57750986,0.128323,0.049,263.8798,"Dec 27, 17",0.6203676240760424
